Epoch: [0][0/100], lr: 0.00100	Time 16.352 (16.352)	Data 12.773 (12.773)	Loss 1.0861 (1.0861)	Prec@1 50.000 (50.000)	Prec@5 50.000 (50.000)
Epoch: [0][5/100], lr: 0.00100	Time 0.231 (2.918)	Data 0.000 (2.129)	Loss 2.0485 (1.3576)	Prec@1 33.333 (38.889)	Prec@5 33.333 (38.889)
Epoch: [0][10/100], lr: 0.00100	Time 0.230 (1.696)	Data 0.000 (1.161)	Loss 1.2468 (1.2953)	Prec@1 16.667 (33.333)	Prec@5 16.667 (33.333)
Epoch: [0][15/100], lr: 0.00100	Time 0.230 (1.238)	Data 0.000 (0.799)	Loss 1.0408 (1.2545)	Prec@1 16.667 (33.333)	Prec@5 16.667 (33.333)
Epoch: [0][20/100], lr: 0.00100	Time 0.231 (0.998)	Data 0.000 (0.608)	Loss 1.2706 (1.2359)	Prec@1 0.000 (31.746)	Prec@5 0.000 (31.746)
Epoch: [0][25/100], lr: 0.00100	Time 0.231 (0.851)	Data 0.000 (0.491)	Loss 1.0654 (1.2228)	Prec@1 16.667 (28.846)	Prec@5 16.667 (28.846)
Epoch: [0][30/100], lr: 0.00100	Time 0.229 (0.751)	Data 0.000 (0.412)	Loss 1.1148 (1.2009)	Prec@1 16.667 (28.495)	Prec@5 16.667 (28.495)
Epoch: [0][35/100], lr: 0.00100	Time 0.230 (0.678)	Data 0.000 (0.355)	Loss 1.1439 (1.1911)	Prec@1 16.667 (29.167)	Prec@5 16.667 (29.167)
Epoch: [0][40/100], lr: 0.00100	Time 0.232 (0.624)	Data 0.001 (0.312)	Loss 1.2551 (1.1925)	Prec@1 33.333 (28.862)	Prec@5 33.333 (28.862)
Epoch: [0][45/100], lr: 0.00100	Time 0.231 (0.581)	Data 0.001 (0.278)	Loss 1.2002 (1.1920)	Prec@1 33.333 (28.261)	Prec@5 33.333 (28.261)
Epoch: [0][50/100], lr: 0.00100	Time 0.231 (0.547)	Data 0.000 (0.251)	Loss 1.2443 (1.1864)	Prec@1 16.667 (29.085)	Prec@5 16.667 (29.085)
Epoch: [0][55/100], lr: 0.00100	Time 0.231 (0.519)	Data 0.000 (0.228)	Loss 1.0777 (1.1830)	Prec@1 33.333 (28.869)	Prec@5 33.333 (28.869)
Epoch: [0][60/100], lr: 0.00100	Time 0.230 (0.495)	Data 0.000 (0.210)	Loss 1.0707 (1.1793)	Prec@1 33.333 (28.142)	Prec@5 33.333 (28.142)
Epoch: [0][65/100], lr: 0.00100	Time 0.230 (0.475)	Data 0.000 (0.194)	Loss 1.1228 (1.1745)	Prec@1 16.667 (27.525)	Prec@5 16.667 (27.525)
Epoch: [0][70/100], lr: 0.00100	Time 0.231 (0.458)	Data 0.000 (0.180)	Loss 1.0799 (1.1681)	Prec@1 33.333 (28.169)	Prec@5 33.333 (28.169)
Epoch: [0][75/100], lr: 0.00100	Time 0.232 (0.443)	Data 0.000 (0.168)	Loss 1.0995 (1.1636)	Prec@1 16.667 (28.728)	Prec@5 16.667 (28.728)
Epoch: [0][80/100], lr: 0.00100	Time 0.231 (0.430)	Data 0.000 (0.158)	Loss 1.1873 (1.1565)	Prec@1 16.667 (30.247)	Prec@5 16.667 (30.247)
Epoch: [0][85/100], lr: 0.00100	Time 0.231 (0.418)	Data 0.000 (0.149)	Loss 1.0346 (1.1534)	Prec@1 50.000 (30.426)	Prec@5 50.000 (30.426)
Epoch: [0][90/100], lr: 0.00100	Time 0.231 (0.408)	Data 0.000 (0.141)	Loss 1.1073 (1.1543)	Prec@1 16.667 (30.220)	Prec@5 16.667 (30.220)
Epoch: [0][95/100], lr: 0.00100	Time 0.231 (0.399)	Data 0.000 (0.133)	Loss 1.1121 (1.1518)	Prec@1 50.000 (31.076)	Prec@5 50.000 (31.076)
Test: [0/25]	Time 12.081 (12.081)	Loss 0.8383 (0.8383)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [5/25]	Time 0.059 (2.065)	Loss 0.8580 (0.8637)	Prec@1 100.000 (94.444)	Prec@5 100.000 (94.444)
Test: [10/25]	Time 0.058 (1.153)	Loss 1.3245 (0.9715)	Prec@1 0.000 (72.727)	Prec@5 0.000 (72.727)
Test: [15/25]	Time 0.058 (0.810)	Loss 1.3256 (1.0816)	Prec@1 0.000 (50.000)	Prec@5 0.000 (50.000)
Test: [20/25]	Time 0.058 (0.631)	Loss 0.9142 (1.0629)	Prec@1 83.333 (51.587)	Prec@5 83.333 (51.587)
Testing Results: Prec@1 50.667 Prec@5 50.667 Loss 1.05308
Best Prec@1: 50.667

Epoch: [1][0/100], lr: 0.00100	Time 12.063 (12.063)	Data 11.642 (11.642)	Loss 1.0226 (1.0226)	Prec@1 66.667 (66.667)	Prec@5 66.667 (66.667)
Epoch: [1][5/100], lr: 0.00100	Time 0.229 (2.202)	Data 0.000 (1.940)	Loss 1.2270 (1.1604)	Prec@1 33.333 (36.111)	Prec@5 33.333 (36.111)
Epoch: [1][10/100], lr: 0.00100	Time 0.231 (1.306)	Data 0.000 (1.059)	Loss 0.9505 (1.1242)	Prec@1 50.000 (34.848)	Prec@5 50.000 (34.848)
Epoch: [1][15/100], lr: 0.00100	Time 0.230 (0.970)	Data 0.000 (0.728)	Loss 1.0699 (1.1348)	Prec@1 66.667 (33.333)	Prec@5 66.667 (33.333)
Epoch: [1][20/100], lr: 0.00100	Time 0.231 (0.794)	Data 0.000 (0.555)	Loss 1.2651 (1.1375)	Prec@1 33.333 (30.952)	Prec@5 33.333 (30.952)
Epoch: [1][25/100], lr: 0.00100	Time 0.231 (0.685)	Data 0.000 (0.448)	Loss 1.1828 (1.1400)	Prec@1 33.333 (33.974)	Prec@5 33.333 (33.974)
Epoch: [1][30/100], lr: 0.00100	Time 0.230 (0.612)	Data 0.000 (0.376)	Loss 1.0958 (1.1319)	Prec@1 16.667 (34.946)	Prec@5 16.667 (34.946)
Epoch: [1][35/100], lr: 0.00100	Time 0.230 (0.559)	Data 0.000 (0.324)	Loss 0.9229 (1.1256)	Prec@1 83.333 (36.111)	Prec@5 83.333 (36.111)
Epoch: [1][40/100], lr: 0.00100	Time 0.231 (0.519)	Data 0.000 (0.284)	Loss 1.1987 (1.1249)	Prec@1 33.333 (36.585)	Prec@5 33.333 (36.585)
Epoch: [1][45/100], lr: 0.00100	Time 0.232 (0.488)	Data 0.000 (0.253)	Loss 1.2274 (1.1210)	Prec@1 16.667 (36.957)	Prec@5 16.667 (36.957)
Epoch: [1][50/100], lr: 0.00100	Time 0.231 (0.463)	Data 0.000 (0.228)	Loss 1.0917 (1.1175)	Prec@1 16.667 (36.275)	Prec@5 16.667 (36.275)
Epoch: [1][55/100], lr: 0.00100	Time 0.231 (0.442)	Data 0.000 (0.208)	Loss 1.0759 (1.1156)	Prec@1 33.333 (36.905)	Prec@5 33.333 (36.905)
Epoch: [1][60/100], lr: 0.00100	Time 0.231 (0.425)	Data 0.000 (0.191)	Loss 1.1664 (1.1133)	Prec@1 50.000 (36.885)	Prec@5 50.000 (36.885)
Epoch: [1][65/100], lr: 0.00100	Time 0.231 (0.410)	Data 0.000 (0.177)	Loss 1.0664 (1.1132)	Prec@1 50.000 (36.869)	Prec@5 50.000 (36.869)
Epoch: [1][70/100], lr: 0.00100	Time 0.231 (0.397)	Data 0.000 (0.164)	Loss 1.0476 (1.1078)	Prec@1 66.667 (37.793)	Prec@5 66.667 (37.793)
Epoch: [1][75/100], lr: 0.00100	Time 0.231 (0.386)	Data 0.000 (0.153)	Loss 1.0596 (1.1077)	Prec@1 50.000 (37.281)	Prec@5 50.000 (37.281)
Epoch: [1][80/100], lr: 0.00100	Time 0.232 (0.377)	Data 0.000 (0.144)	Loss 1.0923 (1.1048)	Prec@1 50.000 (37.449)	Prec@5 50.000 (37.449)
Epoch: [1][85/100], lr: 0.00100	Time 0.231 (0.368)	Data 0.000 (0.136)	Loss 1.0353 (1.1052)	Prec@1 50.000 (37.984)	Prec@5 50.000 (37.984)
Epoch: [1][90/100], lr: 0.00100	Time 0.232 (0.361)	Data 0.000 (0.128)	Loss 1.1750 (1.1029)	Prec@1 16.667 (38.278)	Prec@5 16.667 (38.278)
Epoch: [1][95/100], lr: 0.00100	Time 0.231 (0.354)	Data 0.000 (0.121)	Loss 1.0731 (1.1069)	Prec@1 33.333 (37.847)	Prec@5 33.333 (37.847)
