Epoch: [0][0/164], lr: 0.00100	Time 19.909 (19.909)	Data 13.880 (13.880)	Loss 2.3095 (2.3095)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][5/164], lr: 0.00100	Time 0.231 (3.512)	Data 0.000 (2.314)	Loss 2.6584 (2.2838)	Prec@1 16.667 (19.444)	Prec@5 16.667 (19.444)
Epoch: [0][10/164], lr: 0.00100	Time 0.233 (2.021)	Data 0.000 (1.262)	Loss 1.3575 (2.0422)	Prec@1 66.667 (31.818)	Prec@5 66.667 (31.818)
Epoch: [0][15/164], lr: 0.00100	Time 0.231 (1.462)	Data 0.000 (0.868)	Loss 0.3593 (1.6098)	Prec@1 100.000 (47.917)	Prec@5 100.000 (47.917)
Epoch: [0][20/164], lr: 0.00100	Time 0.233 (1.169)	Data 0.000 (0.661)	Loss 0.1398 (1.3804)	Prec@1 100.000 (58.730)	Prec@5 100.000 (58.730)
Epoch: [0][25/164], lr: 0.00100	Time 0.232 (0.989)	Data 0.000 (0.534)	Loss 0.0613 (1.2325)	Prec@1 100.000 (63.462)	Prec@5 100.000 (63.462)
Epoch: [0][30/164], lr: 0.00100	Time 0.232 (0.867)	Data 0.000 (0.448)	Loss 0.6738 (1.0719)	Prec@1 83.333 (68.280)	Prec@5 83.333 (68.280)
Epoch: [0][35/164], lr: 0.00100	Time 0.232 (0.779)	Data 0.000 (0.386)	Loss 0.6564 (1.0105)	Prec@1 50.000 (69.444)	Prec@5 50.000 (69.444)
Epoch: [0][40/164], lr: 0.00100	Time 0.233 (0.713)	Data 0.000 (0.339)	Loss 0.2438 (0.9431)	Prec@1 83.333 (71.138)	Prec@5 83.333 (71.138)
Epoch: [0][45/164], lr: 0.00100	Time 0.233 (0.660)	Data 0.000 (0.302)	Loss 0.7026 (0.8587)	Prec@1 66.667 (73.551)	Prec@5 66.667 (73.551)
Epoch: [0][50/164], lr: 0.00100	Time 0.233 (0.618)	Data 0.001 (0.272)	Loss 0.0029 (0.8172)	Prec@1 100.000 (75.490)	Prec@5 100.000 (75.490)
Epoch: [0][55/164], lr: 0.00100	Time 0.229 (0.584)	Data 0.001 (0.248)	Loss 0.2447 (0.7717)	Prec@1 83.333 (77.083)	Prec@5 83.333 (77.083)
Epoch: [0][60/164], lr: 0.00100	Time 0.232 (0.555)	Data 0.000 (0.228)	Loss 0.5769 (0.7188)	Prec@1 83.333 (78.689)	Prec@5 83.333 (78.689)
Epoch: [0][65/164], lr: 0.00100	Time 0.234 (0.531)	Data 0.000 (0.211)	Loss 0.1762 (0.7127)	Prec@1 100.000 (79.293)	Prec@5 100.000 (79.293)
Epoch: [0][70/164], lr: 0.00100	Time 0.233 (0.510)	Data 0.000 (0.196)	Loss 0.3210 (0.6749)	Prec@1 100.000 (80.282)	Prec@5 100.000 (80.282)
Epoch: [0][75/164], lr: 0.00100	Time 0.234 (0.492)	Data 0.000 (0.183)	Loss 0.6745 (0.6478)	Prec@1 83.333 (80.921)	Prec@5 83.333 (80.921)
Epoch: [0][80/164], lr: 0.00100	Time 0.232 (0.476)	Data 0.000 (0.172)	Loss 0.0104 (0.6132)	Prec@1 100.000 (81.893)	Prec@5 100.000 (81.893)
Epoch: [0][85/164], lr: 0.00100	Time 0.234 (0.462)	Data 0.000 (0.162)	Loss 0.1988 (0.5963)	Prec@1 83.333 (82.558)	Prec@5 83.333 (82.558)
Epoch: [0][90/164], lr: 0.00100	Time 0.233 (0.449)	Data 0.000 (0.153)	Loss 0.4147 (0.5833)	Prec@1 66.667 (82.784)	Prec@5 66.667 (82.784)
Epoch: [0][95/164], lr: 0.00100	Time 0.234 (0.438)	Data 0.001 (0.145)	Loss 0.0652 (0.5730)	Prec@1 100.000 (83.333)	Prec@5 100.000 (83.333)
Epoch: [0][100/164], lr: 0.00100	Time 0.233 (0.428)	Data 0.000 (0.138)	Loss 0.0046 (0.5620)	Prec@1 100.000 (83.663)	Prec@5 100.000 (83.663)
Epoch: [0][105/164], lr: 0.00100	Time 0.234 (0.419)	Data 0.001 (0.131)	Loss 0.6094 (0.5623)	Prec@1 83.333 (83.805)	Prec@5 83.333 (83.805)
Epoch: [0][110/164], lr: 0.00100	Time 0.235 (0.410)	Data 0.000 (0.125)	Loss 0.0020 (0.5392)	Prec@1 100.000 (84.535)	Prec@5 100.000 (84.535)
Epoch: [0][115/164], lr: 0.00100	Time 0.233 (0.403)	Data 0.000 (0.120)	Loss 0.3572 (0.5243)	Prec@1 83.333 (84.914)	Prec@5 83.333 (84.914)
Epoch: [0][120/164], lr: 0.00100	Time 0.233 (0.396)	Data 0.000 (0.115)	Loss 0.0003 (0.5098)	Prec@1 100.000 (85.399)	Prec@5 100.000 (85.399)
Epoch: [0][125/164], lr: 0.00100	Time 0.232 (0.389)	Data 0.000 (0.110)	Loss 0.0000 (0.4930)	Prec@1 100.000 (85.714)	Prec@5 100.000 (85.714)
Epoch: [0][130/164], lr: 0.00100	Time 0.233 (0.383)	Data 0.000 (0.106)	Loss 0.0004 (0.4812)	Prec@1 100.000 (86.132)	Prec@5 100.000 (86.132)
Epoch: [0][135/164], lr: 0.00100	Time 0.233 (0.378)	Data 0.000 (0.102)	Loss 0.0583 (0.4673)	Prec@1 100.000 (86.642)	Prec@5 100.000 (86.642)
Epoch: [0][140/164], lr: 0.00100	Time 0.233 (0.373)	Data 0.000 (0.099)	Loss 0.2065 (0.4600)	Prec@1 83.333 (86.643)	Prec@5 83.333 (86.643)
Epoch: [0][145/164], lr: 0.00100	Time 0.233 (0.368)	Data 0.000 (0.095)	Loss 1.1444 (0.4582)	Prec@1 50.000 (86.530)	Prec@5 50.000 (86.530)
Epoch: [0][150/164], lr: 0.00100	Time 0.234 (0.363)	Data 0.000 (0.092)	Loss 0.2795 (0.4662)	Prec@1 83.333 (86.093)	Prec@5 83.333 (86.093)
Epoch: [0][155/164], lr: 0.00100	Time 0.234 (0.359)	Data 0.000 (0.089)	Loss 3.5292 (0.4752)	Prec@1 66.667 (86.325)	Prec@5 66.667 (86.325)
Epoch: [0][160/164], lr: 0.00100	Time 0.233 (0.355)	Data 0.001 (0.086)	Loss 0.0073 (0.4974)	Prec@1 100.000 (86.128)	Prec@5 100.000 (86.128)
Test: [0/65]	Time 12.591 (12.591)	Loss 0.0108 (0.0108)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [5/65]	Time 0.059 (2.151)	Loss 0.4363 (0.6012)	Prec@1 66.667 (75.000)	Prec@5 66.667 (75.000)
Test: [10/65]	Time 0.059 (1.200)	Loss 0.0001 (0.3633)	Prec@1 100.000 (84.848)	Prec@5 100.000 (84.848)
Test: [15/65]	Time 0.059 (0.844)	Loss 0.0001 (0.2501)	Prec@1 100.000 (89.583)	Prec@5 100.000 (89.583)
Test: [20/65]	Time 0.059 (0.657)	Loss 0.0021 (0.1922)	Prec@1 100.000 (92.063)	Prec@5 100.000 (92.063)
Test: [25/65]	Time 0.059 (0.542)	Loss 0.0556 (0.1580)	Prec@1 100.000 (93.590)	Prec@5 100.000 (93.590)
Test: [30/65]	Time 0.059 (0.464)	Loss 0.0148 (0.1353)	Prec@1 100.000 (94.624)	Prec@5 100.000 (94.624)
Test: [35/65]	Time 0.059 (0.408)	Loss 0.8509 (0.1960)	Prec@1 83.333 (93.519)	Prec@5 83.333 (93.519)
Test: [40/65]	Time 0.059 (0.365)	Loss 0.0000 (0.2097)	Prec@1 100.000 (92.683)	Prec@5 100.000 (92.683)
Test: [45/65]	Time 0.060 (0.332)	Loss 0.4594 (0.1972)	Prec@1 83.333 (93.116)	Prec@5 83.333 (93.116)
Test: [50/65]	Time 0.059 (0.305)	Loss 0.3796 (0.2214)	Prec@1 100.000 (92.157)	Prec@5 100.000 (92.157)
Test: [55/65]	Time 0.059 (0.283)	Loss 0.4845 (0.2283)	Prec@1 83.333 (92.262)	Prec@5 83.333 (92.262)
Test: [60/65]	Time 0.059 (0.265)	Loss 0.0014 (0.2144)	Prec@1 100.000 (92.896)	Prec@5 100.000 (92.896)
Testing Results: Prec@1 93.316 Prec@5 93.316 Loss 0.20194
Best Prec@1: 93.316

Epoch: [1][0/164], lr: 0.00100	Time 13.199 (13.199)	Data 12.775 (12.775)	Loss 0.1842 (0.1842)	Prec@1 83.333 (83.333)	Prec@5 83.333 (83.333)
Epoch: [1][5/164], lr: 0.00100	Time 0.232 (2.394)	Data 0.000 (2.129)	Loss 0.0154 (0.1775)	Prec@1 100.000 (94.444)	Prec@5 100.000 (94.444)
Epoch: [1][10/164], lr: 0.00100	Time 0.234 (1.412)	Data 0.001 (1.162)	Loss 0.0584 (0.1876)	Prec@1 100.000 (95.455)	Prec@5 100.000 (95.455)
Epoch: [1][15/164], lr: 0.00100	Time 0.233 (1.043)	Data 0.001 (0.799)	Loss 0.0007 (0.1729)	Prec@1 100.000 (95.833)	Prec@5 100.000 (95.833)
Epoch: [1][20/164], lr: 0.00100	Time 0.232 (0.850)	Data 0.000 (0.609)	Loss 0.0012 (0.2095)	Prec@1 100.000 (93.651)	Prec@5 100.000 (93.651)
Epoch: [1][25/164], lr: 0.00100	Time 0.233 (0.732)	Data 0.000 (0.492)	Loss 0.0019 (0.1770)	Prec@1 100.000 (94.872)	Prec@5 100.000 (94.872)
Epoch: [1][30/164], lr: 0.00100	Time 0.233 (0.651)	Data 0.001 (0.412)	Loss 0.0430 (0.2115)	Prec@1 100.000 (94.086)	Prec@5 100.000 (94.086)
Epoch: [1][35/164], lr: 0.00100	Time 0.233 (0.593)	Data 0.000 (0.355)	Loss 0.0387 (0.2050)	Prec@1 100.000 (93.981)	Prec@5 100.000 (93.981)
Epoch: [1][40/164], lr: 0.00100	Time 0.233 (0.549)	Data 0.001 (0.312)	Loss 0.0007 (0.1985)	Prec@1 100.000 (93.902)	Prec@5 100.000 (93.902)
Epoch: [1][45/164], lr: 0.00100	Time 0.233 (0.515)	Data 0.000 (0.278)	Loss 0.0020 (0.2072)	Prec@1 100.000 (93.478)	Prec@5 100.000 (93.478)
